battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
959,1,2.6,1,15.0,0,20,1.0,84,4,19.0,561.0,1631,3965,16,1.0,6,1,0,0,3
1724,0,2.0,1,2.0,1,57,0.5,177,3,5.0,1605.0,1924,2822,19,3.0,16,1,1,0,3
1456,1,0.5,1,7.0,0,7,0.4,105,5,12.0,823.0,1104,1587,6,5.0,20,1,0,1,1
1993,1,0.5,0,10.0,1,27,0.3,147,8,11.0,150.0,510,2437,14,1.0,9,1,0,0,2
864,0,1.6,1,2.0,1,53,0.3,88,6,1.0,262.0,1436,493,18,9.0,10,1,1,0,0
1035,1,1.9,1,8.0,0,11,1.0,173,6,10.0,831.0,1709,2002,17,8.0,5,1,1,0,1
1067,1,2.4,1,3.0,1,40,0.6,122,8,15.0,494.0,1989,604,16,14.0,11,1,0,0,0
516,0,1.1,1,8.0,1,39,0.4,91,5,7.0,855.0,1401,819,8,7.0,10,1,1,1,0
1313,1,1.8,1,4.0,0,9,0.4,105,1,6.0,416.0,1308,3791,11,10.0,6,0,1,1,3
1006,0,2.2,1,4.0,1,22,0.8,135,4,8.0,35.0,991,909,18,4.0,7,1,0,1,0
1792,1,1.0,0,3.0,1,62,0.3,170,7,8.0,1626.0,1913,2563,18,14.0,15,1,0,1,3
964,0,2.0,0,4.0,1,22,0.7,86,8,9.0,225.0,1234,2577,17,16.0,5,1,1,0,2
794,0,2.5,1,15.0,0,14,0.6,197,3,19.0,312.0,1376,2171,19,8.0,18,0,0,1,1
781,0,1.1,0,2.0,0,38,0.4,198,5,7.0,304.0,1674,3508,13,8.0,5,0,0,1,3
1081,1,1.9,1,13.0,1,42,0.1,101,7,17.0,83.0,816,2456,7,4.0,7,1,0,0,1
1827,1,0.8,0,4.0,0,61,0.9,130,7,9.0,253.0,1764,2693,8,3.0,7,0,1,1,3
726,0,2.9,0,6.0,0,43,0.1,101,8,9.0,666.0,760,1446,17,2.0,8,1,1,0,0
1308,0,1.3,1,8.0,0,46,0.9,199,1,12.0,275.0,989,488,5,3.0,9,0,1,0,0
1064,0,2.9,1,1.0,1,34,0.2,184,6,13.0,1175.0,1569,654,16,13.0,6,1,0,0,0
1620,0,2.6,1,6.0,0,5,0.9,186,6,18.0,434.0,1339,1086,18,14.0,13,1,0,0,1
740,0,1.8,0,1.0,0,12,0.2,123,1,11.0,935.0,1147,1105,7,6.0,19,0,1,1,0
1142,1,1.2,0,12.0,0,2,0.6,114,6,14.0,623.0,769,1747,7,4.0,14,0,1,0,1
1263,1,1.4,1,1.0,1,32,0.4,103,2,2.0,409.0,644,3372,18,13.0,10,1,1,0,3
1261,0,0.5,0,3.0,1,52,0.3,86,2,9.0,605.0,1429,1365,9,3.0,16,1,0,1,1
1342,0,1.0,0,2.0,1,31,0.6,86,7,1.0,991.0,1638,2746,15,5.0,10,1,1,0,3
803,1,2.1,0,7.0,0,17,1.0,198,4,11.0,344.0,1440,2680,7,1.0,4,1,0,1,2
999,1,1.8,1,9.0,1,27,0.1,167,4,1.0,20.0,745,1344,17,10.0,5,1,0,0,0
1368,0,0.5,0,10.0,1,42,0.2,91,1,20.0,907.0,925,1590,12,2.0,14,1,0,0,1
1128,1,1.4,0,12.0,0,53,0.4,84,5,14.0,609.0,1370,2982,14,9.0,12,1,1,0,3
1696,0,1.7,0,1.0,0,13,0.9,97,3,2.0,179.0,772,523,5,8.0,4,0,1,1,0
1077,1,1.7,1,1.0,0,58,0.8,86,7,13.0,135.0,1892,3902,9,3.0,3,1,0,0,3
506,0,1.6,0,6.0,1,41,0.8,159,1,7.0,875.0,1025,2965,13,10.0,15,1,0,0,2
1320,0,2.1,1,3.0,1,41,0.6,144,7,2.0,123.0,1229,542,11,1.0,14,1,1,0,0
1793,0,2.7,0,12.0,1,44,0.7,175,5,17.0,655.0,1459,2803,19,9.0,6,1,1,1,3
881,0,1.0,0,1.0,0,64,0.5,160,3,6.0,115.0,636,2110,18,9.0,6,1,1,1,1
709,1,2.0,1,3.0,0,35,0.1,136,1,19.0,1545.0,1596,1973,12,9.0,16,0,1,1,1
1122,0,2.8,0,10.0,0,28,0.6,184,3,4.0,1578.0,1963,1402,14,10.0,3,0,1,0,1
1213,1,0.5,0,4.0,0,16,0.5,108,5,9.0,226.0,1248,2700,12,3.0,9,0,0,1,2
909,1,0.5,1,9.0,0,30,0.4,97,3,10.0,290.0,773,594,12,15.0,4,1,1,1,0
1977,1,2.0,1,7.0,1,54,1.0,171,7,18.0,1226.0,1242,1971,18,7.0,14,1,1,0,2
1572,1,0.8,1,7.0,1,8,0.8,169,5,8.0,577.0,1237,3461,6,3.0,10,1,1,1,3
1848,0,1.3,1,7.0,0,12,0.1,178,2,19.0,195.0,533,3915,9,7.0,8,0,0,1,3
1788,1,0.5,1,15.0,1,2,0.3,150,6,20.0,472.0,1073,2655,12,2.0,4,1,0,1,2
1327,0,2.8,0,10.0,0,23,0.5,89,7,16.0,441.0,1721,872,7,5.0,4,1,1,1,0
819,1,2.5,1,9.0,1,11,0.2,83,8,1.0,438.0,822,1094,10,5.0,15,1,0,0,0
1974,0,0.5,1,9.0,0,10,0.8,145,6,12.0,530.0,1496,1433,6,1.0,17,0,0,0,1
